snapped_at,price,market_cap,total_volume,hash_rate
2013-12-08 00:00:00 UTC,743.1100,8987358118.0000,0.0000,6857264015296220
2013-12-09 00:00:00 UTC,897.8900,10863885372.0000,0.0000,6857264015296220
2013-12-10 00:00:00 UTC,927.7800,11230173843.0000,0.0000,6189120342010940
2013-12-11 00:00:00 UTC,887.0800,10741252534.0000,0.0000,6751767645830120
2013-12-12 00:00:00 UTC,878.1700,10636987805.0000,0.0000,7450470437858230
2013-12-13 00:00:00 UTC,897.2700,10872198158.0000,0.0000,7360161705278130
2013-12-14 00:00:00 UTC,866.9900,10509219285.0000,0.0000,7856859734468680
2013-12-15 00:00:00 UTC,854.6200,10363485334.0000,0.0000,8940564525429870
2013-12-16 00:00:00 UTC,789.1500,9573257565.0000,0.0000,7992322833338820
2013-12-17 00:00:00 UTC,691.6500,8393847109.0000,0.0000,9076027624300020
2013-12-18 00:00:00 UTC,559.3600,6791343584.0000,0.0000,9166336356880120
2013-12-19 00:00:00 UTC,677.8400,8233502182.0000,0.0000,8985718891719920
2013-12-20 00:00:00 UTC,694.2500,8436421862.0000,0.0000,10204886781551200
2013-12-21 00:00:00 UTC,596.1200,7246404914.0000,0.0000,8037477199628880
2013-12-22 00:00:00 UTC,650.2700,7907201916.0000,0.0000,9451345682153590
2013-12-23 00:00:00 UTC,645.7500,7854951431.0000,0.0000,9920977765738860
2013-12-24 00:00:00 UTC,659.9400,8030446893.0000,0.0000,10038385786635100
2013-12-25 00:00:00 UTC,668.7400,8140337961.0000,0.0000,9920977765738860
2013-12-26 00:00:00 UTC,734.5900,8944973877.0000,0.0000,9510049692601740
2013-12-27 00:00:00 UTC,734.2700,8944473292.0000,62881800.0000,10566721880668600
2013-12-28 00:00:00 UTC,738.8100,9002769255.0000,28121600.0000,10801537922461200
2013-12-29 00:00:00 UTC,726.4700,8855251580.0000,27018300.0000,8805601567223840
2013-12-30 00:00:00 UTC,760.5200,9270681761.0000,24717100.0000,9862273755290700
2013-12-31 00:00:00 UTC,755.1600,9205343763.0000,21903500.0000,10155793807531400
2014-01-01 00:00:00 UTC,767.7400,9358693020.0000,23448600.0000,10801537922461200
2014-01-02 00:00:00 UTC,772.5300,9417082760.0000,16837800.0000,12034322141872500
2014-01-03 00:00:00 UTC,825.4700,10062417390.0000,54171500.0000,9448754411500350
2014-01-04 00:00:00 UTC,849.1400,10350952914.0000,36344700.0000,11352607912325000
2014-01-05 00:00:00 UTC,919.4100,11207538944.0000,62414600.0000,9942346059862310
2014-01-06 00:00:00 UTC,936.3800,11414401972.0000,88584600.0000,13609026876265400
2014-01-07 00:00:00 UTC,826.5000,10107681750.0000,80268100.0000,13115435227903400
2014-01-08 00:00:00 UTC,838.3200,10256342208.0000,78060300.0000,12480817394295200
